timestamp_utc,label,config_path,tests_filter,alu_slots,valu_slots,load_slots,store_slots,flow_slots,passed,failed,total,cycles_count,cycles_total,cycles_min,cycles_max,cycles_avg,duration_sec
2026-02-17T19:13:33.549159+00:00,slot-matrix-alu1-valu1,E:\Projects\anthropic\vliw_simd\verification\config\generated\matrix_tmp.properties,test_cycle_count,1,1,1,1,1,24,0,24,24,10910,4,2906,454.583,34.319
2026-02-17T19:15:23.283416+00:00,slot-matrix-alu2-valu1,E:\Projects\anthropic\vliw_simd\verification\config\generated\matrix_tmp.properties,test_cycle_count,2,1,1,1,1,0,24,24,0,0,0,0,0.000,109.094
2026-02-17T19:17:29.162126+00:00,slot-matrix-alu4-valu1,E:\Projects\anthropic\vliw_simd\verification\config\generated\matrix_tmp.properties,test_cycle_count,4,1,1,1,1,0,24,24,0,0,0,0,0.000,125.534
2026-02-17T19:20:15.234085+00:00,slot-matrix-alu1-valu2,E:\Projects\anthropic\vliw_simd\verification\config\generated\matrix_tmp.properties,test_cycle_count,1,2,1,1,1,0,24,24,0,0,0,0,0.000,165.816
2026-02-17T19:22:23.222397+00:00,slot-matrix-alu2-valu2,E:\Projects\anthropic\vliw_simd\verification\config\generated\matrix_tmp.properties,test_cycle_count,2,2,1,1,1,0,24,24,0,0,0,0,0.000,127.704
2026-02-17T19:24:50.490054+00:00,slot-matrix-alu4-valu2,E:\Projects\anthropic\vliw_simd\verification\config\generated\matrix_tmp.properties,test_cycle_count,4,2,1,1,1,0,24,24,0,0,0,0,0.000,146.906
2026-02-17T19:26:35.971558+00:00,slot-matrix-alu1-valu1,E:\Projects\anthropic\vliw_simd\verification\config\generated\matrix_tmp.properties,all,test_slot_configs,1,1,1,1,1,3,0,3,3,201,4,177,67.000,32.107
2026-02-17T19:27:08.359264+00:00,slot-matrix-alu2-valu1,E:\Projects\anthropic\vliw_simd\verification\config\generated\matrix_tmp.properties,all,test_slot_configs,2,1,1,1,1,0,3,3,0,0,0,0,0.000,32.080
2026-02-17T19:27:43.437432+00:00,slot-matrix-alu4-valu1,E:\Projects\anthropic\vliw_simd\verification\config\generated\matrix_tmp.properties,all,test_slot_configs,4,1,1,1,1,0,3,3,0,0,0,0,0.000,34.815
2026-02-17T19:28:25.615440+00:00,slot-matrix-alu1-valu2,E:\Projects\anthropic\vliw_simd\verification\config\generated\matrix_tmp.properties,all,test_slot_configs,1,2,1,1,1,0,3,3,0,0,0,0,0.000,41.887
2026-02-17T19:29:04.719262+00:00,slot-matrix-alu2-valu2,E:\Projects\anthropic\vliw_simd\verification\config\generated\matrix_tmp.properties,all,test_slot_configs,2,2,1,1,1,0,3,3,0,0,0,0,0.000,38.761
2026-02-17T19:29:43.834973+00:00,slot-matrix-alu4-valu2,E:\Projects\anthropic\vliw_simd\verification\config\generated\matrix_tmp.properties,all,test_slot_configs,4,2,1,1,1,0,3,3,0,0,0,0,0.000,38.846
2026-02-17T19:31:16.892898+00:00,slot-matrix-alu1-valu1,E:\Projects\anthropic\vliw_simd\verification\config\generated\matrix_tmp.properties,all,test_slot_configs,1,1,1,1,1,3,0,3,3,201,4,177,67.000,33.483
2026-02-17T19:31:16.920650+00:00,slot-matrix-alu2-valu1-skipped,E:\Projects\anthropic\vliw_simd\verification\config\generated\matrix_tmp.properties,all,test_slot_configs,2,1,1,1,1,0,0,0,0,0,0,260,0.000,0.000
2026-02-17T19:31:16.921669+00:00,slot-matrix-alu4-valu1-skipped,E:\Projects\anthropic\vliw_simd\verification\config\generated\matrix_tmp.properties,all,test_slot_configs,4,1,1,1,1,0,0,0,0,0,0,340,0.000,0.000
2026-02-17T19:31:16.922478+00:00,slot-matrix-alu1-valu2-skipped,E:\Projects\anthropic\vliw_simd\verification\config\generated\matrix_tmp.properties,all,test_slot_configs,1,2,1,1,1,0,0,0,0,0,0,276,0.000,0.000
2026-02-17T19:31:16.923362+00:00,slot-matrix-alu2-valu2-skipped,E:\Projects\anthropic\vliw_simd\verification\config\generated\matrix_tmp.properties,all,test_slot_configs,2,2,1,1,1,0,0,0,0,0,0,316,0.000,0.000
2026-02-17T19:31:16.924107+00:00,slot-matrix-alu4-valu2-skipped,E:\Projects\anthropic\vliw_simd\verification\config\generated\matrix_tmp.properties,all,test_slot_configs,4,2,1,1,1,0,0,0,0,0,0,396,0.000,0.000
